Questão ,Gabarito INEP,Resposta-base,Situação,Modelo(s)-base,Gabarito comentado final,Revisão humana?,Status
Questão 1,E,B,Regular,Gemini,"QUESTÃO 01 — Alternativa E
Comentário geral

O texto aborda a mobilidade social intergeracional, isto é, a possibilidade de uma pessoa alcançar, ao longo da vida ou entre gerações, uma posição socioeconômica diferente daquela de sua família de origem. No caso brasileiro, os dados apresentados mostram que essa mobilidade é baixa: seriam necessárias cerca de nove gerações para que descendentes de indivíduos situados entre os 10% mais pobres alcançassem o nível médio de rendimento do país.

O próprio texto explica alguns mecanismos que contribuem para essa permanência na base da pirâmide social. Filhos de famílias mais pobres têm maior dificuldade de acesso à saúde, maior probabilidade de frequentar escolas de baixa qualidade e, consequentemente, menores oportunidades de qualificação. Essa formação precária restringe posteriormente as possibilidades de inserção no mercado de trabalho, favorecendo empregos de baixa remuneração e reduzindo as chances de ascensão econômica. Forma-se, assim, um processo de reprodução intergeracional da pobreza.

Nesse contexto, a alternativa E é a que melhor representa a ideia central do texto: fatores importantes para a ascensão social — como educação de qualidade, saúde e melhores condições de inserção profissional — são menos acessíveis às camadas economicamente desfavorecidas. A referência da alternativa a conflitos sociais amplia a interpretação para possíveis consequências das desigualdades de acesso, embora esse aspecto não seja desenvolvido diretamente no texto-base. Ainda assim, entre as alternativas apresentadas, E é a que melhor sintetiza a relação entre desigualdade estrutural e baixa mobilidade social.

Análise das alternativas

A) Incorreta.
A alternativa associa a baixa mobilidade social a fatores ambientais e demográficos, especialmente às taxas de natalidade. O texto não estabelece essa relação. A comparação entre Brasil, África do Sul, Colômbia e países ricos é feita a partir da capacidade de ascensão socioeconômica entre gerações, e as causas discutidas estão relacionadas principalmente à renda familiar, escolaridade, acesso à saúde, qualidade da educação e oportunidades de trabalho. Portanto, a taxa de natalidade não é apresentada como explicação para a mobilidade social observada.

B) Incorreta.
O texto não atribui a baixa mobilidade social à falta de organização dos grupos economicamente desfavorecidos. Essa interpretação transferiria para os próprios indivíduos pobres a responsabilidade pela dificuldade de ascensão. O enunciado aponta, ao contrário, condições estruturais de desigualdade, como menor acesso à saúde, educação de baixa qualidade, pouca qualificação profissional e empregos de baixa remuneração.

C) Incorreta.
A alternativa utiliza a ideia de transmissão entre gerações, que de fato aparece no texto, mas introduz a expressão “fator ancestral” e afirma que esse fator limita a eficácia de políticas públicas de redução das desigualdades. O enunciado não apresenta a desigualdade como resultado de uma característica ancestral nem discute a eficácia de políticas públicas. O que ele demonstra é a influência das condições socioeconômicas dos pais sobre as oportunidades dos filhos, isto é, um processo social e econômico de reprodução da pobreza.

D) Incorreta.
A alternativa interpreta equivocadamente a ideia de “ciclo de pobreza”. O texto não descreve pessoas ou famílias que sobem na pirâmide social e posteriormente retornam às camadas inferiores de maneira sucessiva. O ciclo apresentado é de permanência e reprodução da pobreza entre gerações: condições desfavoráveis de educação e saúde levam a oportunidades profissionais limitadas, que mantêm baixos rendimentos e aumentam a possibilidade de que a geração seguinte enfrente dificuldades semelhantes.

E) Correta.
O texto mostra que a ascensão social depende de condições que favoreçam o desenvolvimento das pessoas, especialmente acesso à saúde, educação de qualidade, qualificação e melhores oportunidades de trabalho. Para as famílias localizadas na base da pirâmide, o acesso a esses fatores é mais limitado, o que reduz as possibilidades de mobilidade e favorece a continuidade das desigualdades sociais entre gerações. Entre as alternativas apresentadas, E é a que melhor expressa esse mecanismo estrutural descrito no texto e corresponde ao gabarito definitivo do INEP.",Não,Finalizado
Questão 2,C,Nenhuma,Divergência com INEP,—,,Sim,Em revisão
Questão 3,B,Síntese A+C,Regular,Gemini + ChatGPT,"QUESTÃO 03 — Alternativa B
Comentário geral

A questão aborda o uso da bicicleta como meio de transporte sustentável e sua contribuição para a mobilidade urbana e a qualidade de vida nas grandes cidades.

A afirmativa I está incorreta. O fato de a bicicleta ocupar menos espaço na malha viária não significa que os investimentos públicos em infraestrutura cicloviária possam ser dispensados. Ao contrário, o Texto I destaca a importância de políticas públicas de incentivo ao uso da bicicleta, e a própria discussão sobre ciclovias demonstra a necessidade de criar condições adequadas e seguras para sua utilização. A charge reforça essa ideia ao fazer referência à necessidade de ciclovias e ciclofaixas.

A afirmativa II está correta. O uso da bicicleta contribui para a melhoria da qualidade de vida porque se trata de um meio de transporte que, durante seu uso, não produz emissões de poluentes provenientes da queima de combustíveis e ainda promove atividade física. Assim, há benefícios tanto ambientais quanto relacionados à saúde.

A afirmativa III está incorreta porque distorce a informação histórica apresentada no Texto I. O texto informa que, na Alemanha nazista, havia muitos ciclistas e que foram criados espaços exclusivos para bicicletas justamente porque os veículos automotores eram a prioridade naquele período. Não afirma que, a partir da Segunda Guerra Mundial, a bicicleta tenha passado a prevalecer como meio de transporte nas cidades europeias.

Portanto, somente a afirmativa II está correta.

Análise das alternativas

A) Incorreta. Essa alternativa considera verdadeira apenas a afirmativa I. Embora seja correto afirmar que as bicicletas ocupam relativamente pouco espaço na via, disso não decorre que seja possível prescindir de investimentos em ciclovias. A utilização segura e integrada da bicicleta como meio de transporte depende também de infraestrutura adequada, além de campanhas de conscientização. A conclusão apresentada em I é, portanto, excessiva e não encontra apoio nos textos.

B) Correta. Apenas a afirmativa II está correta. O transporte por bicicleta associa dois benefícios importantes: reduz a emissão direta de poluentes durante o deslocamento e proporciona atividade física ao usuário. Esses fatores são compatíveis com a melhoria da qualidade de vida urbana defendida no Texto I.

C) Incorreta. Essa alternativa considera corretas I e III, mas ambas apresentam problemas. I conclui equivocadamente que a infraestrutura cicloviária pode ser dispensada. III, por sua vez, transforma um episódio histórico específico da Alemanha nazista em uma afirmação geral de que a bicicleta passou a prevalecer nas cidades europeias, algo que não é afirmado pelo texto.

D) Incorreta. A afirmativa II está correta, porém a III está errada. O fato de o Texto I mencionar a criação de espaços exclusivos para bicicletas durante a Alemanha nazista não permite concluir que, desde aquele período, a bicicleta tenha se tornado predominante nas cidades europeias. Naquele contexto, o próprio texto informa que os veículos automotivos eram prioridade.

E) Incorreta. Para essa alternativa ser correta, I, II e III precisariam ser verdadeiras. Entretanto, somente II está correta. A afirmativa I dispensa indevidamente os investimentos em infraestrutura cicloviária, enquanto III apresenta uma generalização histórica que não é sustentada pelo texto.",Não,Finalizado
Questão 4,B,Síntese A+B+C,Regular,ChatGPT + Gemini + Claude,"QUESTÃO 04 — Alternativa B
Comentário geral

A questão aborda a Gig Economy, ou economia dos bicos, caracterizada no texto pela utilização de plataformas digitais para intermediar a contratação de trabalhadores considerados autônomos, sem vínculo empregatício formal e, consequentemente, sem diversas proteções tradicionalmente associadas às relações de emprego.

A asserção I é verdadeira, pois corresponde diretamente à caracterização apresentada no texto: trabalhadores atuam por meio de plataformas digitais, são classificados pelas empresas como autônomos e não possuem vínculo empregatício nem a mesma proteção legal e social dos trabalhadores formalmente contratados.

A asserção II também é considerada verdadeira no contexto da questão. Ela descreve condições associadas a esse modelo de trabalho, como o trabalhador assumir os custos necessários à própria atividade, enfrentar jornadas prolongadas e estar sujeito a desgaste e problemas de saúde. O texto menciona expressamente o custeio da atividade pelos próprios trabalhadores, longas jornadas, estresse e problemas de coluna.

Entretanto, a II não justifica logicamente a I. A primeira asserção caracteriza quem integra e como se estrutura a Gig Economy; a segunda descreve condições e consequências vivenciadas pelos trabalhadores inseridos nesse modelo. Arcar com custos, trabalhar por longos períodos e sofrer desgaste não é o que define conceitualmente um trabalhador como integrante da Gig Economy. Por isso, as duas proposições são verdadeiras, mas não há relação de justificativa entre elas.

Análise das alternativas

A) Incorreta.
A alternativa acerta ao considerar I e II verdadeiras, mas erra ao afirmar que II justifica I. As condições descritas na segunda asserção — custeio da atividade, jornadas extensas e desgaste do trabalhador — são características ou consequências do modo como esse trabalho é organizado. Elas não explicam por que trabalhadores autônomos mediados por plataformas digitais pertencem à Gig Economy.

B) Correta.
As duas asserções são verdadeiras, mas possuem funções diferentes. A asserção I caracteriza a Gig Economy a partir da atuação de trabalhadores autônomos intermediados por plataformas, sem vínculo empregatício formal. A asserção II acrescenta informações sobre as condições em que esse trabalho é realizado e seus possíveis efeitos sobre os trabalhadores. Como II não constitui a causa nem o fundamento lógico da caracterização estabelecida em I, não funciona como sua justificativa.

C) Incorreta.
Essa alternativa considera I verdadeira e II falsa. A primeira parte está correta, porém a segunda não. O texto dá suporte às condições descritas em II ao informar que os trabalhadores assumem os custos da atividade, enfrentam longas jornadas e relatam desgaste físico e psicológico, como problemas de coluna e estresse. Portanto, não é adequado classificar II como falsa.

D) Incorreta.
A alternativa inverte a avaliação da asserção I. O próprio texto caracteriza os trabalhadores das plataformas como autônomos sem vínculo empregatício e destaca a ausência de regulamentação e de determinadas garantias trabalhistas. Assim, a asserção I está de acordo com a caracterização da Gig Economy apresentada no enunciado e não pode ser considerada falsa.

E) Incorreta.
Para essa alternativa ser correta, I e II deveriam ser falsas. Entretanto, ambas encontram respaldo no contexto apresentado. A dificuldade da questão não está em determinar a falsidade das proposições, mas em perceber que, embora verdadeiras e relacionadas ao mesmo fenômeno, II não explica nem fundamenta I.",Não,Finalizado
Questão 5,A,Síntese A+B+C,Regular,Claude + ChatGPT + Gemini,"QUESTÃO 05 — Alternativa A
Comentário geral

A questão aborda o suicídio entre crianças e adolescentes indígenas no Brasil, articulando dados epidemiológicos, distribuição territorial e direitos fundamentais dessa população.

Os textos evidenciam uma situação particularmente grave: enquanto a média nacional apresentada é de 5,7 óbitos por suicídio para cada 100 mil habitantes, entre a população indígena o valor informado chega a 15,2, aproximadamente três vezes maior. Além disso, parcela expressiva dos registros indígenas ocorre entre crianças e adolescentes. O Texto II reforça que determinadas minorias étnico-raciais, entre elas os povos indígenas, apresentam taxas de suicídio infantil superiores às observadas na população geral.

A afirmativa I está correta, pois a magnitude do problema demonstra a necessidade de ações de proteção voltadas à vida, à saúde, à infância, à dignidade e aos demais direitos fundamentais das crianças e adolescentes indígenas.

A afirmativa II está incorreta porque a representação cartográfica apresentada na questão não sustenta a afirmação de que Pará e Tocantins sejam os estados com as maiores ocorrências na faixa de 10 a 14 anos. A leitura do mapa indica concentrações mais expressivas em outras unidades da Federação, de modo que a proposição não corresponde adequadamente aos dados apresentados.

A afirmativa III também está incorreta. Os povos indígenas possuem proteção constitucional específica; portanto, é falsa a declaração categórica de que sua história e preservação cultural não estejam amparadas por direitos e garantias constitucionais.

Por fim, a afirmativa IV está incorreta porque desloca para as comunidades indígenas um enfoque baseado genericamente na população nacional de 15 a 20 anos. Os próprios textos mostram um perfil epidemiológico distinto na população indígena, com forte presença de suicídios em faixas etárias mais jovens. Dessa forma, ações preventivas não podem desconsiderar as particularidades dessa população.

Análise das alternativas

A) Correta.
Apenas a afirmativa I está correta. Os dados apresentados revelam uma incidência de suicídio indígena muito superior à média nacional e com participação expressiva de crianças e adolescentes. Esse cenário evidencia a necessidade de políticas e ações voltadas à proteção da vida, da saúde e dos direitos fundamentais dessa população. As afirmativas II, III e IV apresentam problemas factuais ou conceituais.

B) Incorreta.
Essa alternativa considera verdadeira apenas a afirmativa II. Entretanto, a afirmação de que Pará e Tocantins apresentam os maiores índices de suicídio indígena entre 10 e 14 anos não corresponde à distribuição representada no mapa. Assim, não é possível utilizar essa afirmativa como única proposição correta.

C) Incorreta.
A alternativa reúne I e III. A afirmativa I está correta, porém a III é falsa. A Constituição brasileira reconhece direitos específicos dos povos indígenas, incluindo proteção de sua organização social, costumes, línguas, crenças, tradições e demais elementos relacionados à sua identidade e cultura. Portanto, não se pode afirmar que esses povos estejam desprovidos de direitos e garantias constitucionais.

D) Incorreta.
Essa alternativa reúne II e IV, mas ambas são inadequadas. A afirmativa II não corresponde aos dados apresentados pelo mapa. A afirmativa IV, por sua vez, propõe que as ações preventivas sejam orientadas pelos elementos que afetam a população em geral na faixa de 15 a 20 anos, quando os textos mostram que o fenômeno possui características específicas entre indígenas e alcança de maneira importante faixas etárias mais jovens. Portanto, a prevenção deve considerar o perfil apresentado para essa população, e não simplesmente reproduzir uma abordagem baseada no panorama geral.

E) Incorreta.
A alternativa considera III e IV corretas, mas ambas apresentam problemas. A afirmativa III nega uma proteção constitucional que efetivamente existe. Já a IV desconsidera as diferenças epidemiológicas evidenciadas pelos textos entre a população indígena e a população geral. Assim, nenhuma das duas sustenta a alternativa E como resposta correta.",Não,Finalizado
Questão 6,A,A,Regular,Gemini,"QUESTÃO 06 — Alternativa A
Comentário geral

A questão trata dos impactos socialmente desiguais da pandemia de Covid-19. O texto informa que, em 2020, a expectativa de vida da população norte-americana caiu 1,1 ano, enquanto a redução foi maior entre a população negra, com 2,1 anos, e ainda mais acentuada entre os latinos, com 3 anos. O próprio texto chama atenção para o fato de que os latinos apresentavam menor incidência de condições crônicas consideradas fatores de risco para a Covid-19, o que sugere que a diferença observada não pode ser explicada apenas por fatores biológicos ou clínicos.

A asserção I é verdadeira, pois relaciona esse impacto desproporcional à situação de vulnerabilidade social dessas populações. Os dados mostram que determinados grupos sofreram redução da expectativa de vida muito superior à média geral.

A asserção II também é verdadeira no contexto proposto pela questão, pois é formulada explicitamente como uma hipótese: condições de trabalho precárias podem levar a uma maior exposição ao contágio pelo novo coronavírus. Essa hipótese apresenta um mecanismo pelo qual a vulnerabilidade social mencionada em I pode produzir maior risco de exposição.

Além disso, a asserção II justifica a I. A precariedade das condições de trabalho é apresentada como uma manifestação concreta da vulnerabilidade social que pode aumentar a exposição ao vírus e, consequentemente, contribuir para os impactos desproporcionais da pandemia sobre essas populações. Dessa forma, II fornece um mecanismo explicativo coerente para a relação estabelecida em I.

Análise das alternativas

A) Correta.
As duas asserções são verdadeiras e existe relação explicativa entre elas. A primeira identifica a vulnerabilidade social como relacionada ao impacto desproporcional da pandemia sobre negros e latinos. A segunda apresenta uma hipótese concreta de como essa vulnerabilidade pode atuar: condições de trabalho mais precárias podem aumentar as possibilidades de exposição ao contágio. Dessa forma, II fornece uma explicação compatível com o fenômeno apresentado em I.

B) Incorreta.
Essa alternativa acerta ao considerar as duas asserções verdadeiras, mas erra ao negar a relação de justificativa. A asserção II não apresenta apenas uma informação paralela: ela propõe um possível mecanismo pelo qual a vulnerabilidade social mencionada em I pode resultar em maior exposição ao vírus. Por isso, há uma conexão explicativa entre as proposições.

C) Incorreta.
A alternativa considera I verdadeira e II falsa. Entretanto, II não é apresentada como uma afirmação absoluta sobre todos os negros e latinos, mas como uma hipótese que pode ser levantada para explicar a diminuição da expectativa de vida. A possibilidade de condições de trabalho precárias ampliarem a exposição ao contágio é coerente com a relação de vulnerabilidade social estabelecida na primeira asserção. Portanto, não se deve classificar II como falsa.

D) Incorreta.
Essa alternativa considera I falsa. Porém, os próprios dados do texto evidenciam um impacto desigual: a queda na expectativa de vida foi superior entre negros e latinos em comparação com a média da população norte-americana. A asserção I interpreta essa diferença à luz da vulnerabilidade social, sendo compatível com o fenômeno que a questão pretende discutir.

E) Incorreta.
Essa alternativa exigiria que as duas asserções fossem falsas. No entanto, I é compatível com o impacto desproporcional apresentado pelos dados, e II apresenta uma hipótese explicativa coerente para esse impacto. Portanto, não é possível considerar ambas falsas.",Não,Finalizado
Questão 7,C,B,Regular,Gemini,"QUESTÃO 07 — Alternativa C
Comentário geral

A questão discute os benefícios e os riscos do acesso a informações sobre saúde, especialmente pela Internet. Os dois textos reconhecem que o acesso à informação pode contribuir positivamente para comportamentos relacionados à saúde, mas ressaltam que informações incorretas, mal interpretadas ou obtidas sem critérios podem produzir consequências negativas.

A afirmativa I está correta. O Texto I alerta que a divulgação de temas médicos pode funcionar como uma “faca de dois gumes”, pois informações equivocadas podem levar a interpretações erradas. O Texto II reforça esse problema ao destacar que muitas buscas por informações médicas são realizadas sem critérios e podem estimular práticas perigosas, como autodiagnóstico e automedicação. Assim, ambos sustentam a necessidade de critérios na busca e interpretação das informações de saúde.

A afirmativa II também está correta. O Texto I estabelece uma relação positiva entre maior conhecimento sobre doenças — seus fatores de risco, prevenção e tratamento — e a adoção de hábitos saudáveis. O próprio texto apresenta como exemplos o aumento dos diagnósticos precoces do câncer de mama e a redução do tabagismo, além de afirmar que indivíduos mais bem informados tendem a adotar comportamentos preventivos. Portanto, a afirmação de que a disponibilização de informações pode contribuir para o esclarecimento da população encontra respaldo no texto.

Já a afirmativa III está incorreta. O Texto II não defende o acesso a pesquisas da área da saúde como instrumento para tornar o indivíduo mais proativo na prevenção. Seu enfoque é predominantemente de alerta para os riscos das buscas sem critérios, especialmente autodiagnóstico e automedicação. A afirmativa III atribui ao Texto II uma conclusão que não é sustentada pela argumentação apresentada.

Logo, apenas I e II estão corretas.

Análise das alternativas

A) Incorreta.
A afirmativa I é verdadeira, mas não é a única correta. O Texto I não se limita a advertir sobre os riscos da desinformação: ele também apresenta efeitos positivos associados ao conhecimento em saúde, como maior adesão a comportamentos preventivos, redução do tabagismo e diagnóstico mais precoce de determinadas doenças. Portanto, considerar apenas I verdadeira resulta em uma leitura excessivamente restritiva do texto.

B) Incorreta.
Essa alternativa considera apenas a afirmativa III verdadeira. Entretanto, o Texto II não apresenta uma defesa de que o acesso a pesquisas de saúde pelos meios de comunicação torne o indivíduo proativo na prevenção de doenças. Pelo contrário, a pesquisadora citada enfatiza os perigos do uso de informações obtidas sem critérios, particularmente autodiagnóstico e automedicação. Além disso, I e II encontram respaldo nos textos.

C) Correta.
As afirmativas I e II estão adequadamente sustentadas pelos textos. A primeira reconhece a necessidade de critérios nas buscas por informações de saúde, considerando os riscos decorrentes de informações equivocadas. A segunda reflete a ideia apresentada no Texto I de que maior conhecimento sobre saúde pode favorecer hábitos saudáveis e comportamentos preventivos. A afirmativa III, entretanto, extrapola a abordagem do Texto II.

D) Incorreta.
A alternativa combina II e III. Embora II esteja correta, III não está. O erro consiste em atribuir ao Texto II uma defesa do acesso a pesquisas médicas como instrumento de prevenção, quando o texto está centrado nos riscos associados à ausência de critérios na busca e utilização dessas informações.

E) Incorreta.
Para essa alternativa ser correta, as três afirmativas deveriam ser verdadeiras. I e II são sustentadas pelos textos, mas III introduz uma conclusão que não aparece no Texto II. O simples fato de o texto reconhecer que muitas pessoas procuram informações de saúde na Internet não significa que ele defenda essa prática como meio de prevenção; sua ênfase está justamente nos riscos envolvidos quando não são utilizados critérios adequados.",Não,Finalizado
Questão 8,D,A,Regular,Claude,"QUESTÃO 08 — Alternativa D
Comentário geral

A questão contrapõe dois modelos de democracia apresentados no texto: a democracia majoritária, baseada na ideia de governar segundo a vontade da maioria, e a democracia consensual, que busca governar para o maior número possível de pessoas, procurando consensos mais amplos e evitando que a vontade majoritária simplesmente exclua os interesses das minorias. O texto também associa a democracia consensual à necessidade de lideranças políticas mais maduras, tanto no governo quanto na oposição.

A afirmativa I está correta. Se a democracia consensual busca atender ao máximo possível de pessoas, o bem comum não pode ser reduzido automaticamente à opinião da maioria. Uma maioria numérica pode possuir determinadas preferências sem que elas representem necessariamente todos os interesses existentes na sociedade.

A afirmativa II está incorreta. O texto afirma que a democracia consensual busca consensos mais amplos e exige maturidade política tanto do governo quanto da oposição. Isso não significa que o modelo seja definido pela obrigação de situação e oposição alcançarem consenso em todas as decisões. O conceito é mais amplo: busca-se incorporar o maior número possível de interesses sociais.

A afirmativa III está correta no sentido adotado pela questão. O modelo majoritário privilegia a decisão da maioria diante de preferências divergentes, produzindo uma dinâmica política mais competitiva e adversarial. Em contraste com a lógica de acomodação e negociação característica da democracia consensual, o modelo majoritário pode apresentar maior polarização e combatividade entre posições políticas divergentes.

A afirmativa IV está correta, pois decorre diretamente do princípio da democracia consensual: governar para o máximo possível de pessoas exige que a maioria no poder também considere as necessidades e interesses das minorias.

Assim, estão corretas I, III e IV.

Análise das alternativas

A) Incorreta.
A alternativa reúne I e II. A afirmativa I está correta, mas II não caracteriza adequadamente a democracia consensual. A busca por consensos amplos não significa que toda decisão governamental dependa de um consenso formal entre situação e oposição. O objetivo é ampliar a inclusão de interesses e reduzir a imposição exclusiva da vontade da maioria.

B) Incorreta.
I e IV estão corretas, mas a alternativa omite a afirmativa III. A dinâmica majoritária tende a ser mais adversarial porque, diante do desacordo, prevalece a preferência da maioria, enquanto a democracia consensual busca acomodar interesses distintos. Nesse contexto, maior competitividade e combatividade entre posições divergentes são compatíveis com a caracterização do modelo majoritário apresentada na questão.

C) Incorreta.
A alternativa considera II e III corretas. Embora III esteja correta, II não está. O fato de o texto mencionar governo e oposição não transforma o consenso entre esses dois polos em definição da democracia consensual. O elemento fundamental é a busca de decisões que contemplem o máximo possível de pessoas e interesses.

D) Correta.
As afirmativas I, III e IV são compatíveis com a distinção apresentada entre democracia majoritária e consensual. I reconhece que o bem comum não se reduz necessariamente à vontade majoritária; III caracteriza a dinâmica mais competitiva do modelo majoritário; e IV expressa a preocupação do modelo consensual com a inclusão das minorias.

E) Incorreta.
A alternativa inclui II, que apresenta uma caracterização excessivamente restritiva da democracia consensual, ao tratá-la como consenso entre situação e oposição. Além disso, exclui I, que está de acordo com a ideia central do texto de que governar democraticamente para o conjunto da sociedade não equivale necessariamente a simplesmente seguir a opinião da maioria.",Não,Finalizado
Questão 9,E,A,Regular,Gemini,"QUESTÃO 09 — Alternativa E
Comentário geral

A questão aborda algoritmos de escalonamento de processos e sua adequação a diferentes ambientes computacionais. O escalonador é o componente do sistema operacional responsável por decidir qual processo ou thread no estado pronto utilizará a CPU em seguida. Como diferentes sistemas possuem objetivos distintos, o algoritmo de escalonamento deve ser escolhido de acordo com características como tempo de resposta, previsibilidade, vazão e cumprimento de prazos.

Em sistemas em lote (batch), normalmente são valorizados critérios como vazão e redução do tempo médio de espera, sendo o Shortest Job First (SJF) um algoritmo classicamente associado a esse contexto.

Nos sistemas interativos, é especialmente importante oferecer boa resposta ao usuário e evitar que um processo monopolize a CPU. Algoritmos como round-robin e escalonamento por prioridades são adequados a esse tipo de ambiente.

Já os sistemas de tempo real apresentam requisitos temporais mais rigorosos, nos quais determinadas tarefas precisam ser concluídas dentro de prazos específicos. Algoritmos como o Rate Monotonic Scheduling (RMS) são desenvolvidos justamente para esse tipo de sistema.

Entre as combinações apresentadas na questão, somente a alternativa E associa adequadamente um algoritmo ao ambiente proposto: escalonamento por prioridades em sistemas interativos.

Análise das alternativas

A) Incorreta. A alternativa associa First In, Last Out (FILO) a sistemas de tempo real. FILO representa uma política semelhante ao comportamento de uma pilha, na qual o item que entrou por último é atendido primeiro, e não constitui um algoritmo clássico apropriado ao escalonamento de sistemas de tempo real. Esses sistemas exigem previsibilidade temporal e cumprimento de deadlines, características que demandam políticas específicas de escalonamento.

B) Incorreta. O Rate Monotonic Scheduling (RMS) é um algoritmo clássico de escalonamento para sistemas de tempo real, especialmente para conjuntos de tarefas periódicas. Nele, tarefas com períodos menores recebem prioridades maiores. Portanto, o algoritmo é real e conhecido, mas foi associado ao ambiente errado: sistemas em lote.

C) Incorreta. O algoritmo Tarefa Mais Curta Primeiro — Shortest Job First (SJF) privilegia o processo com menor tempo estimado de execução. Essa estratégia pode reduzir o tempo médio de espera e é tradicionalmente associada a processamento em lote, no qual é mais plausível conhecer ou estimar previamente a duração dos trabalhos. Em sistemas interativos, entretanto, espera-se principalmente boa responsividade e compartilhamento da CPU entre diversos processos; além disso, o SJF pode provocar espera excessiva de tarefas longas.

D) Incorreta. O round-robin distribui o processador entre os processos utilizando pequenas fatias de tempo, chamadas quantum. Ao final do quantum, o processo pode ser colocado novamente na fila para que outro utilize a CPU. Esse mecanismo é característico de sistemas interativos e de tempo compartilhado, pois favorece a responsividade e impede que um único processo monopolize a CPU. Em sua forma básica, porém, não oferece as garantias temporais necessárias a sistemas de tempo real.

E) Correta. No escalonamento por prioridades, cada processo recebe uma prioridade e, em geral, o processo pronto com maior prioridade recebe preferência para utilizar a CPU. Essa estratégia pode ser aplicada a sistemas interativos, permitindo que processos mais importantes ou sensíveis ao tempo de resposta tenham tratamento preferencial. Entre as associações apresentadas na questão, essa é a única adequadamente formulada.",Não,Finalizado
Questão 10,B,Síntese A+C,Regular,ChatGPT + Claude,"QUESTÃO 10 — Alternativa B
Comentário geral

A questão exige reconhecer quatro estruturas de dados a partir de suas propriedades de organização, inserção e remoção.

A Classe A corresponde a um deque (double-ended queue), porque permite inserções nas duas extremidades da sequência, isto é, tanto no início quanto no final.

A Classe B descreve uma lista simplesmente ligada, pois os elementos são organizados linearmente e cada nó mantém uma referência para o próximo elemento.

A Classe C corresponde a uma pilha, porque os elementos são removidos na ordem oposta àquela em que foram inseridos. Esse comportamento é chamado de LIFO — Last In, First Out, ou “último a entrar, primeiro a sair”.

A Classe D corresponde a uma fila, pois o elemento removido é sempre aquele que foi inserido primeiro. Esse comportamento é chamado de FIFO — First In, First Out, ou “primeiro a entrar, primeiro a sair”.

Portanto, a sequência correta é:

Deque → lista simplesmente ligada → pilha → fila, que corresponde à alternativa B.

Análise das alternativas

A) Incorreta. A alternativa acerta as Classes B, C e D, mas erra ao identificar a Classe A como lista circular. Uma lista circular é caracterizada pelo fato de o último elemento possuir referência para o primeiro, formando um ciclo. O enunciado, entretanto, destaca a possibilidade de inserção nas duas extremidades da sequência, característica típica de um deque.

B) Correta. A associação está integralmente correta: a Classe A é um deque; a Classe B, uma lista simplesmente ligada; a Classe C, uma pilha, por seguir a política LIFO; e a Classe D, uma fila, por seguir a política FIFO.

C) Incorreta. Há dois problemas. Primeiro, a Classe A é descrita operacionalmente como um deque, e não como uma lista duplamente ligada. Embora um deque possa ser implementado internamente com uma lista duplamente ligada, os dois conceitos não são equivalentes. Segundo, as Classes C e D estão invertidas: C apresenta comportamento LIFO, portanto é pilha; D apresenta comportamento FIFO, portanto é fila.

D) Incorreta. A Classe A não é uma pilha, pois uma pilha restringe inserção e remoção a uma única extremidade e segue a política LIFO. A Classe B também não é uma fila: sua descrição enfatiza a existência de referência ao próximo elemento, característica estrutural de uma lista simplesmente ligada. Além disso, a Classe C é pilha, e não deque, enquanto a Classe D é fila, e não lista encadeada.

E) Incorreta. A alternativa identifica corretamente A como deque e D como fila, mas erra as Classes B e C. A Classe B é uma lista simplesmente ligada, e não uma pilha. Já a Classe C descreve exatamente uma pilha, porque os elementos são retirados na ordem inversa da inserção. Esse é um distrator plausível porque combina duas associações corretas com duas incorretas.",Não,Finalizado
