Questão ,Tipo,Área,Subtema,Enunciado,Possui figura?,Situação
Questão 1,Formação Geral,,,"QUESTÃO 01  
 A chance de uma criança de baixa renda ter um futuro melhor que a realidade em que nasceu está, 
em maior ou menor grau, relacionada à escolaridade e ao nível de renda de seus pais. Nos países ricos, 
o ""elevador social"" anda mais rápido. Nos emergentes, mais devagar. No Brasil, ainda mais lentamente. 
O país ocupa a segunda pior posição em um estudo sobre mobilidade social feito pela Organização 
para a Cooperação e Desenvolvimento Econômico (OCDE), em 2018, com dados de 30 países. Segundo 
os resultados, seriam necessárias nove gerações para que os descendentes de um brasileiro entre os 
10% mais pobres atingissem o nível médio de rendimento do país. A estimativa é a mesma para a 
África do Sul e só perde para a Colômbia, onde o período de ascensão levaria 11 gerações. Mais de 
1/3 daqueles que nascem entre os 20% mais pobres no Brasil permanece na base da pirâmide, enquanto 
apenas 7% consegue chegar aos 20% mais ricos. Filhos de pais na base da pirâmide têm dificuldade 
de acesso à saúde e maior probabilidade de frequentar uma escola com ensino de baixa qualidade. 
A educação precária, em geral, limita as opções para esses jovens no mercado de trabalho. 
Sobram-lhes empregos de baixa remuneração, em que a possibilidade de crescimento salarial para 
quem tem pouca qualificação é pequena – e a chance de perpetuação do ciclo de pobreza, grande.
 LEMOS, V. Brasil é o segundo pior em mobilidade social em  ranking de 30 países. BBC News Brasil, 15 jun. 2018 (adaptado).
 A partir das informações apresentadas, é correto afirmar que
A  o fator ambiental e o fator demográfico afetam a mobilidade social observada, sendo ela menor nos 
países que apresentam as maiores taxas de natalidade.
B  a baixa organização social dos economicamente menos favorecidos determina a baixa mobilidade 
social da base para o topo da pirâmide.
C  a mobilidade social é caracterizada por um fator ancestral que se revela ao longo das gerações, sendo 
um limitador da efi cácia de políticas públicas de redução das desigualdades sociais.
D  a análise de mobilidade social permite a observação de um ciclo vicioso, que se caracteriza por uma 
subida nas camadas sociais seguida de uma queda, repetindo-se esse ciclo de modo sucessivo.
E  a ascensão social depende de fatores viabilizadores que estão fora do alcance das camadas pobres, 
o que ocasiona conflitos sociais em busca do acesso a tais fatores.",Não,Em resolução pelas LLMs
Questão 2,Formação Geral,,,"QUESTÃO 02
[FIGURA DO TEXTO I NO CADERNO ORIGINAL: infográfico da Embrapa “A hortaliça é feia ou estragada?”]  
 TEXTO I
 
 Disponível em: https://www.facebook.com/embrapa/photos/a.609357055926350/733391400189581/?type=1&theater. 
Acesso em: 27 maio 2020.
TEXTO Ii
 Em alguns países da Europa, permite-se que um produto de menor valor estéti co seja comercializado. 
Estamos falando de um pepino deformado ou de uma cebola pequena, mas não de um produto 
contaminado com resíduos químicos ou agentes biológicos. No caso do Brasil, o problema vai além da 
aparência, porque há hortaliças ruins – contaminadas, murchas, machucadas – que chegam às bancas 
para ser comercializadas.
 Mas, se nos dois contextos há perda de alimentos e preconceito em relação às hortaliças fora do padrão 
visual, mas boas para o consumo, quais seriam as alternativas para evitar o desperdício e melhorar a 
qualidade dos produtos? Para os pesquisadores do assunto, não adianta replicar a experiência europeia no 
Brasil, de exigir hortaliças esteti camente perfeitas, porque também teríamos produtos sendo desprezados 
ainda na etapa de produção. Não devemos passar de um mercado pouco exigente, que gera desperdício 
no varejo e nas residências, para um mercado exigente que gera perda no campo.
 A solução do problema é conscienti zar os diversos elos da cadeia produti va, especialmente varejistas 
e consumidores, para que sejam esclarecidos sobre quais aspectos da aparência das hortaliças 
comprometem a qualidade. Quanto maior a exigência do mercado por hortaliças de aparência perfeita, 
maior o desperdício de alimentos. Por sua vez, quanto maior a exigência por hortaliças sem danos, 
causados pela falta de cuidado e pela falta de higiene, menor será a perda de alimentos e maior a 
qualidade da alimentação da população brasileira.
 Disponível em: https://www.embrapa.br/busca-de-noti cias/-/noti cia/29626389/manuseio-correto-preserva-a-qualidade-e
-a-vida-uti l-das-hortalicas. Acesso em: 27 maio 2020 (adaptado).
 Considerando as informações apresentadas nos textos, avalie as asserções a seguir e a relação proposta 
entre elas.
I.  O texto I sinteti za uma informação principal do texto II, ao apresentar critérios disti nti vos de 
alterações visuais que têm efeitos puramente estéti cos em produtos alimentí cios daquelas que 
têm implicações na qualidade desses produtos.
 PORQUE
II.  O texto II divulga que o aumento das perdas na cadeia produti va de hortaliças no Brasil 
é proporcional à elevação de exigências dos consumidores pela aparência de produtos 
agropecuários.
 A respeito dessas asserções, assinale a opção correta.
A  As asserções I e II são proposições verdadeiras, e a II é uma justificativa correta da I.
B  As asserções I e II são proposições verdadeiras, mas a II não é uma justificativa correta da I.
C  A asserção I é uma proposição verdadeira, e a II é uma proposição falsa.
D  A asserção I é uma proposição falsa, e a II é uma proposição verdadeira.
E  As asserções I e II são proposições falsas.",Sim,Em resolução pelas LLMs
Questão 3,Formação Geral,,,"QUESTÃO 03
[FIGURA DO TEXTO II NO CADERNO ORIGINAL: charge sobre ciclovias]  
 TEXTO I
 Na Alemanha nazista, no auge da Segunda Guerra Mundial, surgiu a necessidade de abrir mais espaço 
para os veículos automotivos. Com muitos ciclistas, as bicicletas viraram um empecilho, forçando a 
criação de um espaço exclusivo para elas – talvez as primeiras ciclovias do mundo. Mas, se na década 
de 1940 os veículos eram prioridade, hoje, o uso de bicicletas – e das ciclovias – surge como uma das 
principais alternativas para melhorar a qualidade de vida nas grandes metrópoles. Quando políticas 
públicas incenti vam o uso de bicicletas como meio de transporte para curtas e médias distâncias, um 
novo panorama se abre.
 COSTA, J. Ciclovias ajudam a humanizar o espaço urbano.  Ciência e Cultura . v.  68, n. 2, São Paulo, 2016 (adaptado) . 
 TEXTO Ii
 
 Disponível em: http://dopedal.blogspot.com/2012/05/charge-do-silverio-voz-da-serra.html. Acesso em: 29 de abr. 2020.
 Considerando as informações apresentadas e o uso de bicicletas como alternativa para melhorar a 
qualidade de vida nas cidades, avalie as afirmações a seguir.
I.  Dado que as bicicletas são veículos que ocupam pouco espaço na malha viária, prescinde-se de 
investimentos públicos em construção de ciclovias, sendo prioritárias campanhas de conscientização 
de motoristas a respeito dos benefícios do uso da bicicleta como meio de transporte.
II.  O uso das bicicletas como meio de transporte contribui para a melhoria da qualidade de vida nas 
grandes metrópoles, pois elas não emitem poluentes, além de esse uso proporcionar a prática de 
atividade fí sica.
III.  A partir da Segunda Guerra Mundial, durante o governo da Alemanha nazista, o uso da bicicleta 
como meio de transporte tornou-se eficaz e passou a prevalecer nas cidades europeias.
 É correto o que se afirma em
A  I, apenas.
B  II, apenas.
C  I e III, apenas.
D  II e III, apenas.
E  I, II e III.",Sim,Em resolução pelas LLMs
Questão 4,Formação Geral,,,"QUESTÃO 04  
 Além do contexto econômico, o avanço da tecnologia também é um dos responsáveis pelo aumento dos 
trabalhadores informais. E a tendência de contratação de  freelancers por meio de plataformas digitais,
como aplicativos de  delivery e de mobilidade urbana, ganhou até um nome:  Gig Economy , ou economia 
dos bicos. Para os gigantes de tecnologia detentores desses aplicativos, os motoristas são trabalhadores 
autônomos, que não possuem vínculo empregatício. Além de não estarem sujeitos a nenhuma 
regulamentação e proteção legal, os profissionais que desenvolvem esse tipo de trabalho deixam de 
contribuir para a Previdência Social e de possuir benefícios como Fundo de Garantia por Tempo de 
Serviço (FGTS), férias e décimo terceiro salário. Não obstante, ainda arcam com todo o custo da atividade 
que exercem. Em uma reportagem que ouviu alguns desses trabalhadores, motoristas afirmaram sofrer 
com problemas de coluna e com o estresse no trânsito, além das longas jornadas de trabalho. Por esses 
motivos, a  Gig Economy está no centro de uma discussão mundial acerca da responsabilidade dessas 
companhias milionárias sobre as condições de trabalho da mão de obra que contratam. No meio do limbo 
jurídico, quem sofre são os trabalhadores dessas plataformas, que ficam duplamente desprotegidos ― 
pelas empresas e pelo Estado.
 Disponível em: https://exame.abril.com.br/carreira/quais-sao-as-consequencia-do-trabalho-informal-no-pais/. 
Acesso em: 18 abr. 2020 (adaptado).
 A partir das informações apresentadas, avalie as asserções a seguir e a relação proposta entre elas.
I.  Trabalhadores autônomos informais que atuam em plataformas digitais sem qualquer vínculo 
empregatício, desprotegidos de regulamentação ou lei trabalhista, compõem a  Gig Economy .
 PORQUE
II.  Os trabalhadores, na  Gig Economy , arcam com todos os custos necessários para desempenhar 
o seu trabalho, ganham por produção e enfrentam longas jornadas diárias, o que os deixa mais 
desgastados e com problemas de saúde.
 A respeito dessas asserções, assinale a opção correta.
A  As asserções I e II são proposições verdadeiras, e a II é uma justificativa correta da I.
B  As asserções I e II são proposições verdadeiras, mas a II não é uma justificativa correta da I.
C  A asserção I é uma proposição verdadeira, e a II é uma proposição falsa.
D  A asserção I é uma proposição falsa, e a II é uma proposição verdadeira.
E  As asserções I e II são proposições falsas.",Não,Em resolução pelas LLMs
Questão 5,Formação Geral,,,"QUESTÃO 05
[FIGURA NO CADERNO ORIGINAL: mapa da distribuição de óbitos por suicídio indígena]  
 TEXTO I
 Segundo o Ministério da Saúde, em 2017 o Brasil registrou uma média nacional de 5,7 óbitos para 
100 mil habitantes. Na população indígena, foi registrado um número de óbitos três vezes maior que 
a média nacional – 15,2. Destes registros, 44,8% (aproximadamente, 6,8 óbitos), são suicídios de 
crianças e adolescentes entre 10 e 19 anos. Esses dados contrastam com o panorama nacional, 
em que o maior índice é entre adolescentes e adultos de 15 a 20 anos.
 Disponível em: https://www.cvv.org.br/blog/o-suicidio-do-povo-indigena/. Acesso em: 30 de abr. 2020 (adaptado).
 TEXTO Ii
 Evidências apontam que, em determinadas minorias étnico-raciais, como os indígenas (aborígines ou 
populações nativas), o suicídio entre crianças apresenta taxas bem mais elevadas do que as observadas 
na população geral. No Brasil, o enforcamento foi utilizado mais frequentemente entre indígenas do que 
entre não indígenas, não se observando, no primeiro grupo, suicídios por intoxicação ou por armas de 
fogo. O mapa a seguir apresenta a distribuição dos óbitos por suicídio entre crianças e adolescentes 
indígenas no Brasil, entre os anos de 2010 e 2014.
 
 SOUZA, M. Mortalidade por suicídio entre crianças indígenas no Brasil. Caderno de Saúde pública, v.35, Rio de Janeiro, 2019 (adaptado).
Considerando as informações apresentadas e o alto índice de suicídio da população indígena, avalie as 
afirmações a seguir.
I.  O elevado índice de suicídios entre crianças e adolescentes indígenas no país evidencia a 
necessidade de ações com foco nos direitos fundamentais desses indivíduos.
II.  Os estados do Pará e de Tocantins são os que possuem os maiores índices de suicídio de indígenas 
na faixa etária de 10 a 14 anos.
III.  Os povos das tribos originárias do Brasil, no que tange a sua história e preservação cultural, 
não estão amparados por direitos e garantias constitucionais.
IV.  O estabelecimento de ações preventivas ao suicídio nas comunidades indígenas deve considerar
os elementos globais que afetam a população em geral, na faixa etária entre 15 e 20 anos.
 É correto apenas o que se afirma em
A  I.
B  II.
C  I e III.
D  II e IV.
E  III e IV.
",Sim,Em resolução pelas LLMs
Questão 6,Formação Geral,,,"QUESTÃO 06
A pandemia ocasionada pelo novo Coronavírus gerou impactos negativos na economia e nos negócios, 
intensificando problemas sociais no mundo todo. Nos Estados Unidos, um estudo realizado com a 
parceria de duas importantes universidades verificou que a expectativa de vida dos norte-americanos 
caiu 1,1 ano em 2020. A nova expectativa é de 77,4 anos. De acordo com o estudo, esta foi a maior queda 
anual da expectativa de vida já registrada nos últi mos 40 anos.  O declínio é ainda maior se considerada a 
expectativa de vida para negros que moram no país, cuja queda foi de 2,1 anos. Para a população latina, 
essa queda foi de 3 anos. O declínio na expectativa de vida dos latinos é significativo, uma vez que eles
apresentam menor incidência de condições crônicas que são fatores de risco para a Covid-19 em relação
às populações de brancos e negros.
 LOUREIRO, R. Covid-19 reduz gravemente expectativa de vida de negros e latinos nos EUA. Revista Exame, 2021 (adaptado). 
Considerando as informações apresentadas no texto, avalie as asserções a seguir e a relação proposta 
entre elas.
I.  O efeito desproporcional da pandemia da Covid-19 na expectativa de vida da população negra e
lati no-americana estabelece relação com sua situação de vulnerabilidade social.
 PORQUE
II.  Uma hipótese que pode ser levantada quanto à diminuição da expectativa de vida de negros e 
lati no-americanos está relacionada às suas precárias condições de trabalho, levando-os a maior 
possibilidade de exposição ao contágio pelo novo Coronavírus.
 A respeito dessas asserções, assinale a opção correta.
A  As asserções I e II são proposições verdadeiras, e a II é uma justificativa correta da I.
B  As asserções I e II são proposições verdadeiras, mas a II não é uma justificativa correta da I.
C  A asserção I é uma proposição verdadeira, e a II é uma proposição falsa.
D  A asserção I é uma proposição falsa, e a II é uma proposição verdadeira.
E  As asserções I e II são proposições falsas.",Não,Em resolução pelas LLMs
Questão 7,Formação Geral,,,"QUESTÃO 07  
 TEXTO I
 O estudo  Internet and American Life Project , do  Pew Research Center , demonstrou que, em 2009, 
metade das buscas de temas relacionados à saúde na internet era feita para terceiros, e quase seis em 
cada dez pessoas que usaram meios digitais para se informar sobre saúde mudaram o enfoque com que 
cuidavam da própria saúde ou da de algum parente. Esti ma-se que exista uma correlação positi va entre o 
grau de conhecimento das doenças (seus fatores de risco, formas de prevenção e tratamento) e a taxa de 
adoção de hábitos saudáveis pela sociedade. O aumento nos diagnósti cos precoces do câncer de mama 
e a diminuição do tabagismo são dois exemplos clássicos a favor dessa ideia. Acredita-se que indivíduos 
mais bem informados aderem a comportamentos preventi vos e reagem melhor a uma enfermidade.
 Infelizmente, a divulgação de temas médicos é uma faca de dois gumes: quem não sabe nada está mais 
perto da verdade do que a pessoa cuja mente está cheia de informações equivocadas. Conseguir que 
a mensagem seja bem decodifi cada pelos receptores é o grande desafio que preocupa (ou deveria 
preocupar) tanto médicos quanto jornalistas.
 TABAKMAN, R.  a saúde na mídia : medicina para jornalistas, jornalismo para médicos. Trad. Lizandra Magon de Almeida. 
São Paulo: Summus Editorial, 2013 (adaptado).
 TEXTO Ii
 De acordo com os dados da últi ma TIC Domicílios — pesquisa realizada anualmente com o objetivo de 
mapear formas de uso das tecnologias de informação e comunicação no país —, aproximadamente 
46% dos usuários de Internet no Brasil utilizam a rede à procura de informações médicas sobre saúde em 
geral e serviços de saúde. Para uma médica e pesquisadora da Fiocruz, os indivíduos sempre procuraram 
informações sobre seu estado de saúde, mas é inegável que o surgimento da Internet trouxe um aumento 
significativo do acesso a informações amplificando assim os reﬂ exos deste processo e alterando a relação 
entre os indivíduos. A pesquisadora chama a atenção para o perigo do autodiagnóstico e da automedicação, 
que podem gerar consequências nefastas tanto para os indivíduos quanto para a saúde pública, uma vez 
que boa parte dos estudos mostra que não são adotados critérios durante as buscas na Internet.
 Disponível em: https://agencia.fi ocruz.br/conteudos-sobre-saude-na-web-alteram-relacao-medico-paciente. Acesso em: 16 abr. 2020 (adaptado).
 Considerando a abordagem dos textos, avalie as afirmações a seguir.
I.  Os textos I e II evidenciam a importância de critérios nas buscas realizadas pelos usuários da 
Internet por informações sobre patologias, pois algumas informações podem trazer riscos à saúde 
por fomentarem a compreensão equivocada de sintomas e profi laxias.
II.  O texto I afirma que a disponibilização de informações sobre temas de saúde nos meios de 
comunicação tem contribuído para o esclarecimento da população acerca de hábitos saudáveis.
III.  No texto II, defende-se o acesso a informações relati vas a pesquisas da área da saúde nos veículos 
de comunicação, pois elas permitem que o indivíduo seja proati vo na prevenção de patologias.
 É correto o que se afirma em
A  I, apenas.
B  III, apenas.
C  I e II, apenas.
D  II e III, apenas.
E  I, II e III.",Não,Em resolução pelas LLMs
Questão 8,Formação Geral,,,"QUESTÃO 08  
Que é democracia? Em seu famoso discurso em Gettysburg, Abraham Lincoln disse que “a democracia 
é o governo do povo, feito para o povo e pelo povo, e responsável perante o povo”. O crédito desta 
definição é, na verdade, de Daniel Webster, que a elaborou 33 anos antes de Lincoln em outro discurso. 
Nesta ideia de “governo pelo povo e para o povo” surge uma questão essencial: e quando o povo estiver 
em desacordo? E quando o povo tiver preferências divergentes? O politólogo Arend Lijphart ressalta 
que há duas respostas principais: a resposta da “democracia majoritária” e a resposta da “democracia 
consensual”. Na democracia majoritária, a resposta é simples e direta: deve-se governar para a maioria 
do povo. A resposta alternativa, no modelo da democracia consensual é: deve-se governar para o máximo 
possível de pessoas.
 A virtude da democracia consensual é buscar consensos mais amplos no que é interesse de todos;
o desafio da democracia consensual pressupõe lideranças políticas mais maduras, tanto no governo 
quanto na oposição. Democratas genuínos têm aversão à ideia do totalitarismo e combatem os delírios 
daqueles que desejam poder sem limites.
 Disponível em: https://g1.globo.com/politi ca/blog/matheus-leitao/post/2020/02/25/democracia-consensual-contra-a-ti rania-da-maioria.ghtml. 
Acesso em: 2 maio 2020 (adaptado).
 A partir dos argumentos expostos no texto, avalie as afirmações a seguir.
I.  O bem comum, a ser estabelecido por um governo democráti co, nem sempre está associado às 
opiniões da maioria do povo.
II.  A democracia consensual é caracterizada pelo consenso a ser alcançado entre situação e oposição, 
nas decisões governamentais.
III.  Circunstâncias políticas de polarização, marcadas pela alta competitividade e combatividade entre 
posições divergentes, caracterizam um modelo de democracia majoritária.
IV.  Democracia consensual pressupõe que a situação política no poder considere em suas decisões as
necessidades das minorias, no sentido de governar para todo o povo.
 É correto apenas o que se afirma em
A  I e II.
B  I e IV.
C  II e III.
D  I, III e IV.
E  II, III e IV.",Não,Em resolução pelas LLMs
Questão 9,Componente Específico ,,,"QUESTÃO 09	
Quando um computador é multiprogramado, ele 
geralmente tem múltiplos processos ou threads 
que competem pela CPU ao mesmo tempo. 
Essa situação ocorre sempre que dois ou mais 
processos estão simultaneamente no estado 
pronto. Se somente uma CPU se encontrar 
disponível, deverá ser feita uma escolha de 
qual processo executar em seguida. A parte do 
sistema operacional que faz a escolha é chamada 
de escalonador, e o algoritmo que ele usa é o 
algoritmo de escalonamento.
TANENBAUM, A. S. Sistemas Operacionais Modernos. 
3. ed., São Paulo: Pearson, 2010 (adaptado).
Considerando que em ambientes diferentes são 
necessários algoritmos diferentes de escalonamento, 
garantindo assim que seja maximizado o uso de 
seus recursos, assinale a opção que apresenta um 
algoritmo de escalonamento seguido do tipo de 
ambiente no qual deva ser implementado.
A	 Primeiro a chegar, último a sair (first in, last out 
- FILO); propício para sistemas de tempo real.
B	 Escalonamento 
por 
taxas 
monotônicas 
(rate monotonic scheduling - RMS); propício 
para sistemas em lote.
C	 Tarefa mais curta primeiro; propício para 
sistemas interativos.
D	 Escalonamento por chave circular (round-robin); 
propício para sistemas de tempo real.
E	 Escalonamento por prioridades; propício para 
sistemas interativos.",Não,Em resolução pelas LLMs
Questão 10,Componente Específico ,,,"QUESTÃO 10	
A biblioteca de coleções da linguagem Java 
disponibiliza implementações de propósito 
geral para estruturas de dados elementares, 
como listas, filas e pilhas. Considere as 
seguintes definições de classes que representam 
implementações 
de 
estruturas 
de 
dados 
disponíveis na biblioteca da linguagem:
•	Classe A: os objetos são organizados em uma 
ordem linear e podem ser inseridos somente 
no início ou no final dessa sequência;
•	Classe B: os objetos são organizados em uma 
ordem linear determinada por uma referência 
ao próximo objeto;
•	Classe C: os objetos são removidos na ordem 
oposta em que foram inseridos;
•	Classe D: os objetos são inseridos e removidos 
respeitando a seguinte regra: o elemento 
a ser removido é sempre aquele que foi 
inserido primeiro.
Nesse contexto, assinale a alternativa que 
representa, respectivamente, as estruturas de 
dados implementadas pelas classes A, B, C e D.
A	 Lista circular, lista simplesmente ligada, pilha 
e fila.
B	 Deque, lista simplesmente ligada, pilha e fila.
C	 Lista duplamente ligada, lista simplesmente 
ligada, fila e pilha.
D	 Pilha, fila, deque e lista simplesmente encadeada.
E	 Deque, pilha, lista ligada e fila.",Não,Em resolução pelas LLMs
Questão 11,Componente Específico ,,,"QUESTÃO 11
[FIGURA NO CADERNO ORIGINAL: arquitetura de rede neural profunda e processo de treinamento]	
Uma equipe de cientistas da computação de uma determinada empresa de animação foi designada 
para desenvolver um sistema capaz de varrer a web no intuito de detectar sites que possam estar 
usando imagens de seus personagens de animação sem o devido consentimento. Portanto, o sistema 
deverá receber imagens como entrada, classificá-las entre imagens da empresa e imagens não 
produzidas pela empresa.
A figura abaixo esboça uma arquitetura de rede neural profunda e o processo de treinamento que os 
cientistas pretendem usar.
CHOLLET, F. Deep Learning with Python. New York: Manning Publications, 2017 (adaptado).
Após uma tentativa, notaram-se duas dificuldades: 1) o tempo de treinamento da rede estava muito 
longo e 2) a acurácia da rede treinada não estava no patamar aceito pela empresa.
Diante deste contexto, avalie as afirmações a seguir.
I.	 Aumentar o número de camadas é uma alternativa que pode levar a uma melhora na acurácia, 
além de diminuir o tempo de treinamento da rede.
II.	 Fazer uso de redes convolucionais é uma alternativa que pode levar a uma melhora na acurácia, 
no entanto, pode exigir uso de máquinas com maior poder de processamento.
III.	 Aumentar o número de unidades de processamento (neurônios) nas camadas pode levar a uma 
piora na acurácia, além de diminuir o tempo de treinamento da rede.
IV.	 Aumentar o número de amostras de treinamento é uma alternativa que pode levar a uma melhora 
na acurácia, apesar de aumentar o tempo de treinamento da rede.
V.	 Fazer uso de redes recorrentes é uma alternativa que pode levar a uma melhora na acurácia, no 
entanto, pode exigir uso de máquinas com maior poder de processamento.
É correto apenas o que se afirma em
A	 I e IV. 
B	 I e V. 
C	 II e III. 
D	 II e IV. 
E	 III e V.
Entrada (X)
Pesos 1
Pesos
Pesos n
Ajuste dos
pesos
Otimizador
Camada de Entrada
Camada Intermediária n
Camada de Saída
Saídas Previstas (Y’)
Saídas Reais (Y)
Função de Perda
...
S
",Sim,Em resolução pelas LLMs
